time, pos, colour
731,0.345723192005492,1
732,0.2734620196166826,1
733,0.2741231961117979,1
734,0.3030824324124727,1
735,0.43897494615203364,1
736,0.4743860455897771,1
737,0.41682291960412265,1
738,0.4137289750539054,1
739,0.44210126245234327,1
740,0.47101846689818583,1
741,0.49967091953063636,1
742,0.6188660564419534,1
743,0.6604357606203104,1
744,0.700434839104324,1
745,0.7931219879494132,1
746,0.7607618230862513,1
747,0.7698357457192799,1
748,0.7859233349260663,1
749,0.8010053313924272,1
750,0.8119565180785615,1
751,0.8173782212451549,1
752,0.8647595120378971,1
753,0.8473804414897829,1
754,0.8468968466925486,1
755,0.8891488345883366,1
756,0.9498402040609216,1
757,0.8617336744564918,1
758,0.8527960384992287,1
759,0.899708197941392,1
760,0.9061986568424353,1
761,0.9156505925671752,1
762,0.9369407121412338,1
763,0.97701269081293,1
764,0.9813626555031341,1
765,1.003046554034169,1
766,1.0131535994727086,1
767,1.105225607394605,1
768,1.1169626983665362,1
769,1.1211872324227572,1
770,1.0480812426377235,1
771,1.0724033684754708,1
772,1.121872210333497,1
773,1.232056734180554,1
774,1.2944344703930877,1
775,1.3844557271808104,1
776,1.3818192289018392,1
777,1.3014711265493242,1
778,1.3087400372379352,1
779,1.3405143985697006,1
780,1.3696047298218843,1
781,1.4286458807504439,1
782,1.458144184533992,1
783,1.5002306868179187,1
784,1.569779598651732,1
785,1.5770208150036238,1
786,1.5446797593080752,1
787,1.5864145054392411,1
788,1.6440806899140008,1
789,1.6382536772344465,1
790,1.5678609766638885,1
791,1.5031198320114874,1
792,1.4565996100040712,1
793,1.4982227371131365,1
794,1.5028191627721972,1
795,1.5061064050224002,1
796,1.609077041300369,1
797,1.6670573001667381,1
798,1.6955297133215839,1
799,1.7370081465747373,1
800,1.7796499266443404,1
801,1.8630956613466978,1
802,1.8602636183373344,1
803,1.8646035896346116,1
804,1.917415977738128,1
805,1.960067529944524,1
806,1.9571640123845742,1
807,1.9706187228830438,1
808,1.8630517004880391,1
809,1.8803764977601287,1
810,1.895103544520592,1
811,1.993365572163396,1
812,1.9052991532688934,1
813,1.9464059421507258,1
814,1.9706340552781618,1
815,1.9697044424141243,1
816,1.9141956373588505,1
817,1.9386830181252797,1
818,1.9442441937020905,1
819,1.9662178848988203,1
820,1.9969184570239231,1
821,1.9054807397311166,1
822,1.9104718064439354,1
823,1.9019013877390016,1
824,1.8641634788311359,1
825,1.8632504340964762,1
826,1.9015010990818024,1
827,1.8759252210698183,1
828,1.7700954752702072,1
829,1.7753888964650266,1
830,1.8730955347370912,1
831,1.9097149891677418,1
832,1.8559830935953496,1
833,1.7906300040785565,1
834,1.7246149660262171,1
835,1.7000223070508955,1
836,1.7192957811282221,1
837,1.6747388442642879,1
838,1.6518603140722363,1
839,1.655842416907205,1
840,1.6126873827856623,1
841,1.6762038924033704,1
842,1.6791842053731527,1
843,1.6656544483725644,1
844,1.6382544380975548,1
845,1.631420946286964,1
846,1.690640247969195,1
847,1.6654821107011133,1
848,1.6593407989919742,1
849,1.699318691872757,1
850,1.7302792613932072,1
851,1.7176171968962237,1
852,1.6884373276023976,1
853,1.6295266356210907,1
854,1.6736226966120027,1
855,1.6405904729718015,1
856,1.6633025656712954,1
857,1.612554848919967,1
858,1.6243058818885439,1
859,1.6256656759154977,1
860,1.655996727056823,1
861,1.6485340849826675,1
862,1.6674848354672547,1
863,1.7075857020241059,1
864,1.7791623839487558,1
865,1.7771450968029112,1
866,1.746781462399186,1
867,1.680063334787689,1
868,1.7109309304942555,1
869,1.7408335382941478,1
870,1.6799441361095533,1
871,1.7848328858509845,1
872,1.6884584807273115,1
873,1.7062460889994693,1
874,1.7448279620617766,1
875,1.7365161067247126,1
876,1.7247655928710819,1
877,1.7062857512726184,1
878,1.7405119023870936,1
879,1.7124999715587903,1
880,1.7563340650184027,1
881,1.746847650583237,1
882,1.8346994271890138,1
883,1.8848767331068939,1
884,1.8253587086756735,1
885,1.8055989389459441,1
886,1.8215213010572608,1
887,1.7661523914008115,1
888,1.8225175692399405,1
889,1.779926300870894,1
890,1.852384662405558,1
891,1.8463075120376535,1
892,1.869722701375945,1
893,1.8669823107179986,1
894,1.9201010930589322,1
895,1.968849792498131,1
896,1.942625565737615,1
897,1.98289869156673,1
898,2.040108327476355,-5
899,2.019226460307677,-5
900,1.9572017357858764,-5
901,1.8243724360117213,-5
902,1.813357545889224,-5
903,1.766209937894564,-5
904,1.6965438835705005,-5
905,1.657096109784024,-5
906,1.62422776394646,-5
907,1.5961948161148138,-5
908,1.474107835322924,-5
909,1.3495645947893362,-5
910,1.294525926736223,-5
911,1.2803850873385532,-5
912,1.2179247141651108,-5
913,1.2042707656359715,-5
914,1.1596688186050181,-5
915,1.1304361388743125,-5
916,1.2319888959606904,1
917,1.2821108879289547,1
918,1.325531727476475,1
919,1.309555849118612,1
920,1.2773569724675335,1
921,1.2930741421710417,1
922,1.1881523367860993,1
923,1.2027112744377977,1
924,1.199591330237155,1
925,1.2601636624400285,1
926,1.2376821338102146,1
927,1.2891523998783088,1
928,1.2107094165402492,1
929,1.2787324551738084,1
930,1.355445982587474,1
931,1.314320589056768,1
932,1.3619757571816855,1
933,1.3319690856810242,1
934,1.3294095470737626,1
935,1.3460235460669296,1
936,1.3600717821611341,1
937,1.4024781461931413,1
938,1.3692268467581414,1
939,1.3689647672308956,1
940,1.4321109396759961,1
941,1.3948803656335305,1
942,1.4141344382903904,1
943,1.423898764717618,1
944,1.377648059260087,1
945,1.3302026637914104,1
946,1.3377238409178402,1
947,1.3710211317613883,1
948,1.3642603157479658,1
949,1.313985212398448,1
950,1.310671530817441,1
951,1.2681107886359466,1
952,1.147892980313558,1
953,1.0797374973167644,1
954,1.0773503306957093,1
955,1.1761874386439248,1
956,1.150153528459189,1
957,1.2154461986515845,1
958,1.1898977656128567,1
959,1.2012064071925086,1
960,1.2355229192166122,1
961,1.1723517895875082,1
962,1.227588436826469,1
963,1.2122762751377927,1
964,1.1960292810730104,1
965,1.2244540413807705,1
966,1.2638787587424416,1
967,1.3498452781277026,1
968,1.3834871048942987,1
969,1.4322715559287382,1
970,1.4969012878905543,1
971,1.612667304416415,1
972,1.5984156460320857,1
973,1.6149386622832618,1
974,1.6239418010651836,1
975,1.6439091048363168,1
976,1.6483275843173935,1
977,1.6585811310031522,1
978,1.6725748627891155,1
979,1.6556430311716308,1
980,1.6521970887588417,1
981,1.6045022243670963,1
982,1.6214989710831715,1
983,1.6170315483785629,1
984,1.6594176662812974,1
985,1.7295504777960091,1
986,1.7944448558222492,1
987,1.857500507811368,1
988,1.8408034699486937,1
989,1.8382757047340266,1
990,1.8475795552386445,1
991,1.874841772533449,1
992,1.9003252979564575,1
993,1.8068155339709029,-5
994,1.7595310813956593,-5
995,1.7523475411798402,-5
996,1.7261536125448487,-5
997,1.742356700210647,-5
998,1.617049237589464,-5
999,1.6333642644490223,-5
1000,1.554517083932038,-5
1001,1.4769111733791558,-5
1002,1.452937642028486,-5
1003,1.4358650530725572,-5
1004,1.3823633203064607,-5
1005,1.3296163617217485,-5
1006,1.322433858784019,-5
1007,1.304209538997696,-5
1008,1.163561482728757,-5
1009,1.1166188432384943,-5
1010,1.0809121976288094,-5
1011,1.0487522330819141,-5
1012,1.0604893251325975,-5
1013,1.0479307439465395,-5
1014,1.065857395573094,1
1015,1.1440120440302946,1
1016,1.1422531482099751,1
1017,1.1623578143561657,1
1018,1.1709767129302606,1
1019,1.111747338805031,1
1020,1.0546451546443432,1
1021,1.018721868860455,1
1022,1.0311376874472764,1
1023,1.0620477493430975,1
1024,1.044612096230705,1
1025,1.050820638131799,1
1026,1.064560160959239,1
1027,1.0433149931705088,1
1028,1.0560003876058843,1
1029,1.077007151360687,1
1030,1.073316805822993,1
1031,1.0694072126014367,1
1032,1.1472769602199602,1
1033,1.1477488623040106,1
1034,1.190448198659751,1
1035,1.0954949567193133,1
1036,1.0543984355099052,1
1037,1.0510441790707739,1
1038,0.9280876302629569,1
1039,0.9738410929470954,1
1040,0.922509174237556,1
1041,0.903455566777331,1
1042,0.9999058116172806,1
1043,0.9852044451056067,1
1044,0.9607007820220733,1
1045,0.9901440155211039,1
1046,0.9531910214011736,1
1047,0.9692630791413466,1
1048,0.985327683389471,1
1049,1.0075620321848597,1
1050,1.094504588633129,1
1051,1.0951749935257065,1
1052,1.070799587083039,1
1053,1.0685268444406955,1
1054,1.014529229986462,1
1055,1.0818712816155172,1
1056,1.0317762159498334,1
1057,1.0084608028564321,1
1058,0.9657576981534169,1
1059,0.9905447393030165,1
1060,1.1094619446105645,1
1061,1.1478136925927374,1
1062,1.1500116346824234,1
1063,1.1388032400789139,1
1064,1.241106157669347,1
1065,1.302308524937087,1
1066,1.3620083083625192,1
1067,1.2845059972046893,1
1068,1.2437351252121596,1
1069,1.2104188409111027,1
1070,1.191485497627957,1
1071,1.1664301230743388,1
1072,1.2289422244024777,1
1073,1.255547494100716,1
1074,1.2626360216386197,1
1075,1.2640174912214706,1
1076,1.3206545297164103,1
1077,1.3781134286565935,1
1078,1.4264741420818436,1
1079,1.4372197960666417,-5
1080,1.3726920086650867,-5
1081,1.2872992058145278,-5
1082,1.263401608622473,-5
1083,1.1821302254515273,-5
1084,1.2184863392537124,1
1085,1.2451161366419001,1
1086,1.1778350188899493,1
1087,1.173890952312721,1
1088,1.1597241442756823,1
1089,1.1400333217787033,1
1090,1.115637980226241,1
1091,1.0877913582398309,1
1092,1.0580204783784146,1
